VPC,NetworkInterfaceId,AttachmentId,Description,Status,SubnetId,VpcId,PrivateIpAddress,InterfaceType
"devops-locked-vpc","eni-0333a5f26ecfbe3d3","ela-attach-015758e34afc7161d","VPC Endpoint Interface vpce-0183586ade28a3487","in-use","subnet-0a7863c4791ae49f2","vpc-0f7fa8fdff02da590","10.2.1.145","vpc_endpoint"
"devops-locked-vpc","eni-008beffa32e97cea5","ela-attach-059fd906dc954376d","VPC Endpoint Interface vpce-08dbbd58f7573d512","in-use","subnet-0a7863c4791ae49f2","vpc-0f7fa8fdff02da590","10.2.1.232","vpc_endpoint"
"devops-locked-vpc","eni-036c6bc4322541945","ela-attach-065c56ff9c2df7a4f","VPC Endpoint Interface vpce-07e3c737e14d68440","in-use","subnet-0a7863c4791ae49f2","vpc-0f7fa8fdff02da590","10.2.1.253","vpc_endpoint"
"devops-locked-vpc","eni-0b3b46a62db3f2b50","ela-attach-00db204da02476a86","VPC Endpoint Interface vpce-0e4c07aa29817be75","in-use","subnet-0a7863c4791ae49f2","vpc-0f7fa8fdff02da590","10.2.1.57","vpc_endpoint"
"devops-locked-vpc","eni-0f125d18eb8b3ab69","ela-attach-06e6ca5585e92bdb2","VPC Endpoint Interface vpce-04586057e6b9b81db","in-use","subnet-0a7863c4791ae49f2","vpc-0f7fa8fdff02da590","10.2.1.173","vpc_endpoint"
"devops-locked-vpc","eni-0480056519e4fc83b","ela-attach-08d0d2576a6a23343","VPC Endpoint Interface vpce-02956469f1b13181d","in-use","subnet-0a7863c4791ae49f2","vpc-0f7fa8fdff02da590","10.2.1.86","vpc_endpoint"
"devops-locked-vpc","eni-037bfcb48e40337b1","ela-attach-04fff0aa3f031aa69","VPC Endpoint Interface vpce-0b3ff0d121c4eb4ae","in-use","subnet-0a7863c4791ae49f2","vpc-0f7fa8fdff02da590","10.2.1.217","vpc_endpoint"
"devops-locked-vpc","eni-03c5529fcc6eb85c8","ela-attach-0f5305d37a553ec83","VPC Endpoint Interface vpce-086fb7be5b7d2272d","in-use","subnet-0a7863c4791ae49f2","vpc-0f7fa8fdff02da590","10.2.1.37","vpc_endpoint"
"devops-locked-vpc","eni-04e061e5cabd22dfa","ela-attach-02bfd6f07494ec853","VPC Endpoint Interface vpce-0e0e6e23dc2b93126","in-use","subnet-0a7863c4791ae49f2","vpc-0f7fa8fdff02da590","10.2.1.23","vpc_endpoint"
"devops-locked-vpc","eni-0aee84ac0b5b89fc5","ela-attach-0a9af60662e8d09cf","VPC Endpoint Interface vpce-0112c1a1538953d7d","in-use","subnet-0a7863c4791ae49f2","vpc-0f7fa8fdff02da590","10.2.1.113","vpc_endpoint"
"devops-locked-vpc","eni-01e634f18e3dea91a","ela-attach-066f2b94613644a69","VPC Endpoint Interface vpce-0b642e67cbc147924","in-use","subnet-0a7863c4791ae49f2","vpc-0f7fa8fdff02da590","10.2.1.32","vpc_endpoint"
"devops-locked-vpc","eni-07629cb0c7a42ed3f","ela-attach-0b90da7c8347d4d7f","VPC Endpoint Interface vpce-03cc85fabe0665b8a","in-use","subnet-0a7863c4791ae49f2","vpc-0f7fa8fdff02da590","10.2.1.198","vpc_endpoint"
"devops-private-vpc","eni-0dd4ae597fddfb295","ela-attach-08c1e58a13082b3ec","VPC Endpoint Interface vpce-0e10d94b19bb8ff28","in-use","subnet-0ebc71f9acbeba83c","vpc-0dd98b0cb5d3ded56","10.1.1.165","vpc_endpoint"
"devops-private-vpc","eni-06cda59431066f6c0","ela-attach-0587fab84c03f797e","VPC Endpoint Interface vpce-0a040a959ee6bfde9","in-use","subnet-0ebc71f9acbeba83c","vpc-0dd98b0cb5d3ded56","10.1.1.124","vpc_endpoint"
"devops-private-vpc","eni-0820b63c739ae490a","ela-attach-0f2511b6102bda437","VPC Endpoint Interface vpce-065c293c757e53be6","in-use","subnet-0ebc71f9acbeba83c","vpc-0dd98b0cb5d3ded56","10.1.1.113","vpc_endpoint"
"devops-private-vpc","eni-02f2e841b15a5533c","ela-attach-02c2e77a733bc4ff9","VPC Endpoint Interface vpce-0612cbc252b5682ed","in-use","subnet-0ebc71f9acbeba83c","vpc-0dd98b0cb5d3ded56","10.1.1.200","vpc_endpoint"
"devops-private-vpc","eni-03ee7d9c1a7b58bca","ela-attach-006e0d798bb7f0160","VPC Endpoint Interface vpce-0a0579fa69e01569c","in-use","subnet-0ebc71f9acbeba83c","vpc-0dd98b0cb5d3ded56","10.1.1.213","vpc_endpoint"
"devops-private-vpc","eni-0212ca58eeb1bc0fc","ela-attach-00e3240f3c74d57c3","VPC Endpoint Interface vpce-01ea8c2708257f1c9","in-use","subnet-0ebc71f9acbeba83c","vpc-0dd98b0cb5d3ded56","10.1.1.56","vpc_endpoint"
"devops-private-vpc","eni-0e52bbfba573100be","ela-attach-0a272c9f537e74ed4","VPC Endpoint Interface vpce-0bdcdce55c91654ce","in-use","subnet-0ebc71f9acbeba83c","vpc-0dd98b0cb5d3ded56","10.1.1.111","vpc_endpoint"
